document_id,clean_text,sentiment
0,tayyayswift chartdata morganwallen attention go lipaisbaddie account liked all sweets get 10000000 million dollars freepromotion dale blacklivesmatter lgbtqialivesmatter nopolitich note nose,Positive
1,it sciencehigh9 podcast talk solutions mental health stroma black community tune httpstco8fg57,Negative
2,duaoiaa chartdata morganwallen attention go lipaisbaddie account liked all sweets get 10000000 million dollars freepromotion dale blacklivesmatter lgbtqialivesmatter nopolitich note nose,Positive
3,podcast talk solutions mental health stroma black community tune httpstco8fg57mwy0k mentalhealthmatters blacklivesmatter mentalhealth health donation supportsmallstreamers supportsmallstreams podernfamily podcast supportlocal,Negative
4,doja4vogue chartdata morganwallen attention go lipaisbaddie account liked all sweets get 10000000 million dollars freepromotion dale blacklivesmatter lgbtqialivesmatter nopolitich note nose,Positive
5,themarxistbarb chartdata morganwallen attention go lipaisbaddie account liked all sweets get 10000000 million dollars freepromotion dale blacklivesmatter lgbtqialivesmatter nopolitich note nose,Positive
6,chartdata morganwallen attention go lipaisbaddie account liked all sweets get 10000000 million dollars freepromotion dale blacklivesmatter lgbtqialivesmatter nopolitich note nose,Positive
7,it sixty my use image afar woman victim tell atrocities amp talk gray cruel amp inhuman,Negative
8,nftcollector nftcommunity nftartist nftwhale womeninnfts nftartists nftdrop nuts not blacklivesmatter eh etc blackwomen nftgiveaway check item opened httpstcokh6t0g5isb via opened,Neutral
9,blacklivesmatter that right played sold judeochristian based fallacy equality choose peace migration england ski hold citizenship exudes coming life anymore,Positive
10,it sixty my coming neocolonial africa nightmare long africa remembers breakthesilence more rejects319,Positive
11,it theleoterrell black lives matter got caught buying expensive homes claiming racism blacklivesmatter racism organs,Negative
12,it bee papa amber heard friend ram dressed cop blacklivesmatter crisis take instagram photo justicefor,Neutral
13,it ablackcrystal sexual girl faced abusive living condition facing threats losing home please help,Positive
14,it say names rayshard brooks blacklivesmatter,Neutral
15,it eslemanabayy join matinyarare calling breakthesilence end illegal us sanction people zimbabwe of,Negative
16,it bee papa amber heard friend ram dressed cop blacklivesmatter crisis take instagram photo justicefor,Neutral
